cv_fold,snp_count,model,score
13,100,Ridge,0.89
13,100,Lasso,0.83
13,100,ElasticNet,0.89
13,100,Random Forest,0.81
13,100,SVR,0.88
13,500,Ridge,0.82
13,500,Lasso,0.78
13,500,ElasticNet,0.87
13,500,Random Forest,0.82
13,500,SVR,0.87
13,2000,Ridge,0.62
13,2000,Lasso,0.78
13,2000,ElasticNet,0.88
13,2000,Random Forest,0.8
13,2000,SVR,0.9
13,5000,Ridge,0.85
13,5000,Lasso,0.74
13,5000,ElasticNet,0.86
13,5000,Random Forest,0.81
13,5000,SVR,0.91
13,10000,Ridge,0.88
13,10000,Lasso,0.73
13,10000,ElasticNet,0.89
13,10000,Random Forest,0.82
13,10000,SVR,0.92
13,All,Ridge,0.53
13,All,Lasso,0.52
13,All,ElasticNet,0.39
13,All,Random Forest,0.57
13,All,SVR,0.56
14,10,Ridge,0.66
14,10,Lasso,0.66
14,10,ElasticNet,0.66
14,10,Random Forest,0.54
14,10,SVR,0.66
14,52,Ridge,0.7
14,52,Lasso,0.7
14,52,ElasticNet,0.7
14,52,Random Forest,0.62
14,52,SVR,0.71
14,100,Ridge,0.76
14,100,Lasso,0.71
14,100,ElasticNet,0.77
14,100,Random Forest,0.72
14,100,SVR,0.7
14,500,Ridge,0.75
14,500,Lasso,0.67
14,500,ElasticNet,0.84
14,500,Random Forest,0.77
14,500,SVR,0.83
14,2000,Ridge,0.66
14,2000,Lasso,0.67
14,2000,ElasticNet,0.84
14,2000,Random Forest,0.73
14,2000,SVR,0.86
14,5000,Ridge,0.83
14,5000,Lasso,0.58
14,5000,ElasticNet,0.82
14,5000,Random Forest,0.72
14,5000,SVR,0.88
14,10000,Ridge,0.88
14,10000,Lasso,0.6
14,10000,ElasticNet,0.89
14,10000,Random Forest,0.77
14,10000,SVR,0.9
14,All,Ridge,0.42
14,All,Lasso,0.48
14,All,ElasticNet,0.66
14,All,Random Forest,0.47
14,All,SVR,0.48
15,10,Ridge,0.73
15,10,Lasso,0.72
15,10,ElasticNet,0.73
15,10,Random Forest,0.71
15,10,SVR,0.71
15,52,Ridge,0.86
15,52,Lasso,0.79
15,52,ElasticNet,0.85
15,52,Random Forest,0.8
15,52,SVR,0.85
15,100,Ridge,0.89
15,100,Lasso,0.79
15,100,ElasticNet,0.88
15,100,Random Forest,0.81
15,100,SVR,0.89
15,500,Ridge,0.8
15,500,Lasso,0.76
15,500,ElasticNet,0.86
15,500,Random Forest,0.84
15,500,SVR,0.87
15,2000,Ridge,0.64
15,2000,Lasso,0.71
15,2000,ElasticNet,0.9
15,2000,Random Forest,0.81
15,2000,SVR,0.9
15,5000,Ridge,0.85
15,5000,Lasso,0.63
15,5000,ElasticNet,0.9
15,5000,Random Forest,0.81
15,5000,SVR,0.91
15,10000,Ridge,0.89
15,10000,Lasso,0.65
15,10000,ElasticNet,0.88
15,10000,Random Forest,0.83
15,10000,SVR,0.92
15,All,Ridge,0.6
15,All,Lasso,0.56
15,All,ElasticNet,0.45
15,All,Random Forest,0.63
15,All,SVR,0.6
16,10,Ridge,0.81
16,10,Lasso,0.8
16,10,ElasticNet,0.81
16,10,Random Forest,0.76
16,10,SVR,0.8
16,52,Ridge,0.83
16,52,Lasso,0.82
16,52,ElasticNet,0.86
16,52,Random Forest,0.8
16,52,SVR,0.8
16,100,Ridge,0.85
16,100,Lasso,0.83
16,100,ElasticNet,0.86
16,100,Random Forest,0.83
16,100,SVR,0.84
16,500,Ridge,0.88
16,500,Lasso,0.79
16,500,ElasticNet,0.9
16,500,Random Forest,0.85
16,500,SVR,0.89
16,2000,Ridge,0.75
16,2000,Lasso,0.77
16,2000,ElasticNet,0.88
16,2000,Random Forest,0.84
16,2000,SVR,0.92
16,5000,Ridge,0.89
16,5000,Lasso,0.69
16,5000,ElasticNet,0.9
16,5000,Random Forest,0.86
16,5000,SVR,0.93
16,10000,Ridge,0.89
16,10000,Lasso,0.68
16,10000,ElasticNet,0.9
16,10000,Random Forest,0.83
16,10000,SVR,0.93
16,All,Ridge,0.56
16,All,Lasso,0.61
16,All,ElasticNet,0.32
16,All,Random Forest,0.62
16,All,SVR,0.57
17,10,Ridge,0.74
17,10,Lasso,0.72
17,10,ElasticNet,0.74
17,10,Random Forest,0.7
17,10,SVR,0.73
17,52,Ridge,0.81
17,52,Lasso,0.74
17,52,ElasticNet,0.81
17,52,Random Forest,0.73
17,52,SVR,0.83
17,100,Ridge,0.81
17,100,Lasso,0.74
17,100,ElasticNet,0.82
17,100,Random Forest,0.76
17,100,SVR,0.79
17,500,Ridge,0.75
17,500,Lasso,0.69
17,500,ElasticNet,0.83
17,500,Random Forest,0.81
17,500,SVR,0.84
17,2000,Ridge,0.64
17,2000,Lasso,0.67
17,2000,ElasticNet,0.88
17,2000,Random Forest,0.8
17,2000,SVR,0.91
17,5000,Ridge,0.84
17,5000,Lasso,0.62
17,5000,ElasticNet,0.83
17,5000,Random Forest,0.79
17,5000,SVR,0.88
17,10000,Ridge,0.88
17,10000,Lasso,0.61
17,10000,ElasticNet,0.85
17,10000,Random Forest,0.76
17,10000,SVR,0.9
17,All,Ridge,0.38
17,All,Lasso,0.47
17,All,ElasticNet,0.58
17,All,Random Forest,0.52
17,All,SVR,0.47
18,10,Ridge,0.7
18,10,Lasso,0.7
18,10,ElasticNet,0.7
18,10,Random Forest,0.66
18,10,SVR,0.69
18,52,Ridge,0.68
18,52,Lasso,0.65
18,52,ElasticNet,0.68
18,52,Random Forest,0.65
18,52,SVR,0.65
18,100,Ridge,0.73
18,100,Lasso,0.66
18,100,ElasticNet,0.74
18,100,Random Forest,0.71
18,100,SVR,0.67
18,500,Ridge,0.79
18,500,Lasso,0.64
18,500,ElasticNet,0.8
18,500,Random Forest,0.74
18,500,SVR,0.75
18,2000,Ridge,0.6
18,2000,Lasso,0.66
18,2000,ElasticNet,0.85
18,2000,Random Forest,0.74
18,2000,SVR,0.88
18,5000,Ridge,0.84
18,5000,Lasso,0.61
18,5000,ElasticNet,0.87
18,5000,Random Forest,0.71
18,5000,SVR,0.89
18,10000,Ridge,0.83
18,10000,Lasso,0.55
18,10000,ElasticNet,0.8
18,10000,Random Forest,0.7
18,10000,SVR,0.88
18,All,Ridge,0.42
18,All,Lasso,0.44
18,All,ElasticNet,0.65
18,All,Random Forest,0.52
18,All,SVR,0.44
19,10,Ridge,0.59
19,10,Lasso,0.6
19,10,ElasticNet,0.59
19,10,Random Forest,0.49
19,10,SVR,0.62
19,52,Ridge,0.72
19,52,Lasso,0.6
19,52,ElasticNet,0.72
19,52,Random Forest,0.64
19,52,SVR,0.68
19,100,Ridge,0.76
19,100,Lasso,0.59
19,100,ElasticNet,0.75
